latitude;longitude;numberFloor;buildingHeight;completedYear
0.0;0.0;528;1609.3599853516;0
41.889888763428;-87.614860534668;150;609.59997558594;0
41.881618499756;-87.634353637695;125;609.48999023438;0
40.713111877441;-74.01335144043;94;541.29998779297;2014
40.766361236572;-73.980949401855;95;541.02001953125;2019
40.759258270264;-73.989471435547;132;518,00;0
41.881679534912;-87.62890625;112;477.54998779297;0
41.878868103027;-87.635948181152;108;442.14001464844;1974
40.764801025391;-73.977546691895;80;438.29998779297;2018
29.75864982605;-95.366813659668;82;427.86999511719;0
40.761558532715;-73.971862792969;85;425.5;2015
41.888870239258;-87.626426696777;98;423.2200012207;2009
40.712089538574;-74.013221740723;110;417,00;1972
40.710990905762;-74.013130187988;110;415.14001464844;1973
40.712139129639;-74.011268615723;79;411,00;0
40.712139129639;-74.011268615723;82;403.25;2020
40.754020690918;-74.000831604004;73;386.60998535156;2019
40.748420715332;-73.98560333252;102;381,00;1931
40.757579803467;-73.991600036621;110;368.20001220703;0
40.755378723145;-73.984352111816;55;365.79998779297;2009
0.0;0.0;0;356.61999511719;0
36.147399902344;-115.15543365479;0;350.2200012207;1996
41.885158538818;-87.621452331543;83;346.26000976562;1973
41.89879989624;-87.623062133789;100;343.69000244141;1969
39.955020904541;-75.170288085938;59;341.67999267578;2018
34.049900054932;-118.26001739502;73;334.9700012207;2017
43.09061050415;-87.89720916748;0;329,00;1962
40.710868835449;-74.011573791504;80;328.88000488281;2018
40.761810302734;-73.978179931641;77;320.04000854492;2018
36.162590026855;-86.780212402344;77;320,00;0
41.886520385742;-87.631439208984;89;319.14001464844;0
40.751609802246;-73.97534942627;77;318.89999389648;1930
40.756088256836;-73.990043640137;52;318.76998901367;2007
40.755950927734;-74.001281738281;66;315.16000366211;2019
33.770790100098;-84.386016845703;55;311.79998779297;1992
0.0;0.0;93;311.51000976562;0
0.0;0.0;93;311.5;0
34.051040649414;-118.25435638428;73;310.29000854492;1990
40.709468841553;-74.012718200684;60;310,00;2018
41.880348205566;-87.634750366211;60;306.94000244141;1989
40.765441894531;-73.979072570801;75;306.07000732422;2014
29.760419845581;-95.363906860352;75;305.41000366211;1982
25.761070251465;-80.189308166504;0;303.29998779297;0
25.761430740356;-80.189239501953;0;303.29998779297;0
41.885368347168;-87.622581481934;64;303.2799987793;1990
29.758449554443;-95.368263244629;71;302.36999511719;1983
40.710319519043;-74.012176513672;65;297.73001098633;2014
39.954738616943;-75.168479919434;57;296.73001098633;2008
41.877391815186;-87.635559082031;65;292.92001342773;1990
40.706340789795;-74.007667541504;67;290.17001342773;1932
0.0;0.0;57;289.55999755859;0
41.500999450684;-81.693908691406;57;288.64999389648;1991
39.952560424805;-75.16813659668;61;288.04000854492;1987
40.712749481201;-74.009078979492;67;285.60000610352;2016
47.604640960693;-122.33059692383;76;284.38000488281;1984
40.706920623779;-74.009803771973;71;282.54998779297;1930
32.780040740967;-96.803939819336;72;280.7200012207;1985
40.758571624756;-73.97038269043;63;278.89999389648;1977
40.753528594971;-74.002899169922;70;278.57998657227;2018
0.0;0.0;0;278.2799987793;0
29.737190246582;-95.461212158203;64;274.63000488281;1982
40.760459899902;-73.971099853516;42;272.20001220703;2018
47.604339599609;-122.33361053467;60;270.66000366211;0
32.781261444092;-96.801918029785;56;270.05999755859;1986
40.752849578857;-74.001327514648;52;267.67001342773;2016
35.227291107178;-80.842086791992;60;265.48001098633;1992
40.710861206055;-74.005668640137;76;265.17999267578;2011
41.899658203125;-87.624710083008;66;265,00;1989
31.997970581055;-102.07623291016;53;264.95999145508;0
33.762699127197;-84.38646697998;60;264.25;1992
40.752521514893;-73.967666625977;72;262.44000244141;2001
41.897968292236;-87.622840881348;74;261.88000488281;1976
41.886478424072;-87.619918823242;86;261.75;2009
34.049228668213;-118.25686645508;62;261.51998901367;1974
37.795238494873;-122.40273284912;48;260,00;1972
40.758991241455;-73.979393005371;70;259.07998657227;1933
41.881610870361;-87.630241394043;60;259.07998657227;1969
39.951690673828;-75.167427062988;58;258.4700012207;1990
41.897029876709;-87.625137329102;68;257.35000610352;2000
35.466861724854;-97.517631530762;52;257.23001098633;2012
25.759969711304;-80.191963195801;52;257,00;0
41.891578674316;-87.615608215332;67;256.95001220703;2018
40.441291809082;-79.994636535645;64;256.33999633789;1970
40.710468292236;-73.991241455078;68;253.30000305176;2019
25.772119522095;-80.18953704834;76;252.38000488281;0
25.763240814209;-80.190406799316;80;250.55000305176;2017
40.717609405518;-74.006332397461;57;250.24000549316;2016
33.787010192871;-84.387336730957;50;249.94000244141;1987
41.881351470947;-87.625640869141;73;249.33000183105;2010
40.764198303223;-73.979698181152;75;248.11000061035;1987
